PO#,Supply chain status,Supplier number,Supplier description,Freight,MABD,Original MABD,Creator,Create date,DNSA,DNSB,DNRB,Destination node,Event code,Entry type,Total VNPK order qty,Total WHPK order qty,PO total each order qty,Total unit cost,Distribution,Promo ID,Tot. VNPK rec qty,Tot. WHPK rec qty,Order type,Departments,Reason,Channel method,Buyer ID,Total cube,PO total weight (lbs),Destination node contact name,Destination node contact number,"Destination node address:  state, city",Destination node address:  zipcode,Destination node division,PO type,Assortment indicator,OMS status,Item description,Walmart item No.,Line number,Tot. ordered weight (lbs),Total VNPK order qty,Total WHPK order qty,VNPK cost,VNPK order cost,Line VNPK rec qty,Line WHPK rec qty,Stores,Line status
7684765280,Receiving,114189920,Glenn Food Company LLC,Prepaid,04/22/2026,04/22/2026,"GRS     ",04/14/2026,04/18/2026,04/18/2026,04/19/2026,6069,POS REPLEN,SYSTEM,77,77,462,1425.0,Yes,N,62,62,Domestic Po,92,,CROSSDOCK,"DRKEITH , S0A0BJ3 , JUD0037 ",6.59,233.76,SCOTT BOWMAN,5732654800,"MO, SAINT JAMES",65559,7,33,N,Active,MR HONEY HAB GLAZE,674254399,1,18.0,4,4,21.6,86.4,4,4,6,Received
7684765280,Receiving,114189920,Glenn Food Company LLC,Prepaid,04/22/2026,04/22/2026,"GRS     ",04/14/2026,04/18/2026,04/18/2026,04/19/2026,6069,POS REPLEN,SYSTEM,77,77,462,1425.0,Yes,N,62,62,Domestic Po,92,,CROSSDOCK,"DRKEITH , S0A0BJ3 , JUD0037 ",6.59,233.76,SCOTT BOWMAN,5732654800,"MO, SAINT JAMES",65559,7,33,N,Active,MR CAJUN HOT SAUCE,674254400,2,8.4,2,2,21.6,43.2,2,2,4,Received
7684765280,Receiving,114189920,Glenn Food Company LLC,Prepaid,04/22/2026,04/22/2026,"GRS     ",04/14/2026,04/18/2026,04/18/2026,04/19/2026,6069,POS REPLEN,SYSTEM,77,77,462,1425.0,Yes,N,62,62,Domestic Po,92,,CROSSDOCK,"DRKEITH , S0A0BJ3 , JUD0037 ",6.59,233.76,SCOTT BOWMAN,5732654800,"MO, SAINT JAMES",65559,7,33,N,Active,MR TERIYAKI GLAZE,674254402,3,94.5,14,14,21.6,302.40000000000003,14,14,20,Received
7684765280,Receiving,114189920,Glenn Food Company LLC,Prepaid,04/22/2026,04/22/2026,"GRS     ",04/14/2026,04/18/2026,04/18/2026,04/19/2026,6069,POS REPLEN,SYSTEM,77,77,462,1425.0,Yes,N,62,62,Domestic Po,92,,CROSSDOCK,"DRKEITH , S0A0BJ3 , JUD0037 ",6.59,233.76,SCOTT BOWMAN,5732654800,"MO, SAINT JAMES",65559,7,33,N,Active,MERMN SALMON 'C',674258535,4,32.98,17,17,16.8,285.6,17,17,26,Received
7684765280,Receiving,114189920,Glenn Food Company LLC,Prepaid,04/22/2026,04/22/2026,"GRS     ",04/14/2026,04/18/2026,04/18/2026,04/19/2026,6069,POS REPLEN,SYSTEM,77,77,462,1425.0,Yes,N,62,62,Domestic Po,92,,CROSSDOCK,"DRKEITH , S0A0BJ3 , JUD0037 ",6.59,233.76,SCOTT BOWMAN,5732654800,"MO, SAINT JAMES",65559,7,33,N,Active,MERMN CAJUN 'C',674258536,5,22.56,12,12,17.28,207.36,0,0,12,Approved
7684765280,Receiving,114189920,Glenn Food Company LLC,Prepaid,04/22/2026,04/22/2026,"GRS     ",04/14/2026,04/18/2026,04/18/2026,04/19/2026,6069,POS REPLEN,SYSTEM,77,77,462,1425.0,Yes,N,62,62,Domestic Po,92,,CROSSDOCK,"DRKEITH , S0A0BJ3 , JUD0037 ",6.59,233.76,SCOTT BOWMAN,5732654800,"MO, SAINT JAMES",65559,7,33,N,Active,MERMN BLACKENED 'C',674258539,6,34.92,18,18,17.88,321.84,16,16,27,Partially Received
7684765280,Receiving,114189920,Glenn Food Company LLC,Prepaid,04/22/2026,04/22/2026,"GRS     ",04/14/2026,04/18/2026,04/18/2026,04/19/2026,6069,POS REPLEN,SYSTEM,77,77,462,1425.0,Yes,N,62,62,Domestic Po,92,,CROSSDOCK,"DRKEITH , S0A0BJ3 , JUD0037 ",6.59,233.76,SCOTT BOWMAN,5732654800,"MO, SAINT JAMES",65559,7,33,N,Active,MERMN CHILI LIME 'C',682904642,7,22.4,10,10,17.82,178.2,9,9,16,Partially Received
7534920872,Open,114189920,Glenn Food Company LLC,Prepaid,05/02/2026,05/02/2026,"GRS     ",04/21/2026,04/25/2026,04/25/2026,04/29/2026,7033,POS REPLEN,SYSTEM,11,11,72,189.66,Yes,N,0,0,Domestic Po,92,,CROSSDOCK,"K0Z00VO , DRKEITH , S0A0BJ3 , JUD0037 ",1.32,43.51,MIKE HILDEMAN,7609616300,"CA, APPLE VALLEY",92307,7,33,N,Active,MR HONEY HAB GLAZE,674254399,1,4.5,1,1,21.6,21.6,,,1,Approved
7534920872,Open,114189920,Glenn Food Company LLC,Prepaid,05/02/2026,05/02/2026,"GRS     ",04/21/2026,04/25/2026,04/25/2026,04/29/2026,7033,POS REPLEN,SYSTEM,11,11,72,189.66,Yes,N,0,0,Domestic Po,92,,CROSSDOCK,"K0Z00VO , DRKEITH , S0A0BJ3 , JUD0037 ",1.32,43.51,MIKE HILDEMAN,7609616300,"CA, APPLE VALLEY",92307,7,33,N,Active,MR TERIYAKI GLAZE,674254402,2,20.25,3,3,21.6,64.80000000000001,,,3,Approved
7534920872,Open,114189920,Glenn Food Company LLC,Prepaid,05/02/2026,05/02/2026,"GRS     ",04/21/2026,04/25/2026,04/25/2026,04/29/2026,7033,POS REPLEN,SYSTEM,11,11,72,189.66,Yes,N,0,0,Domestic Po,92,,CROSSDOCK,"K0Z00VO , DRKEITH , S0A0BJ3 , JUD0037 ",1.32,43.51,MIKE HILDEMAN,7609616300,"CA, APPLE VALLEY",92307,7,33,N,Active,MERMN SALMON 'C',674258535,3,3.88,2,2,16.8,33.6,,,2,Approved
7534920872,Open,114189920,Glenn Food Company LLC,Prepaid,05/02/2026,05/02/2026,"GRS     ",04/21/2026,04/25/2026,04/25/2026,04/29/2026,7033,POS REPLEN,SYSTEM,11,11,72,189.66,Yes,N,0,0,Domestic Po,92,,CROSSDOCK,"K0Z00VO , DRKEITH , S0A0BJ3 , JUD0037 ",1.32,43.51,MIKE HILDEMAN,7609616300,"CA, APPLE VALLEY",92307,7,33,N,Active,MERMN CAJUN 'C',674258536,4,5.64,3,3,17.28,51.84,,,3,Approved
7534920872,Open,114189920,Glenn Food Company LLC,Prepaid,05/02/2026,05/02/2026,"GRS     ",04/21/2026,04/25/2026,04/25/2026,04/29/2026,7033,POS REPLEN,SYSTEM,11,11,72,189.66,Yes,N,0,0,Domestic Po,92,,CROSSDOCK,"K0Z00VO , DRKEITH , S0A0BJ3 , JUD0037 ",1.32,43.51,MIKE HILDEMAN,7609616300,"CA, APPLE VALLEY",92307,7,33,N,Active,MERMN CHILI LIME 'C',682904642,5,2.24,1,1,17.82,17.82,,,1,Approved
7534920872,Open,114189920,Glenn Food Company LLC,Prepaid,05/02/2026,05/02/2026,"GRS     ",04/21/2026,04/25/2026,04/25/2026,04/29/2026,7033,POS REPLEN,SYSTEM,11,11,72,189.66,Yes,N,0,0,Domestic Po,92,,CROSSDOCK,"K0Z00VO , DRKEITH , S0A0BJ3 , JUD0037 ",1.32,43.51,MIKE HILDEMAN,7609616300,"CA, APPLE VALLEY",92307,7,33,N,Active,MRORGEXTCRISPFISHFRY,682911384,6,7.0,1,1,26.16,,,,1,Cancelled
3784483866,Cancelled,114189920,Glenn Food Company LLC,Prepaid,02/21/2026,02/21/2026,"GRS     ",02/12/2026,02/16/2026,02/16/2026,02/18/2026,6080,POS REPLEN,SYSTEM,27,27,162,583.2,Yes,N,0,0,Domestic Po,92,,CROSSDOCK,"DRKEITH , S0A0BJ3 ",2.5,106.86,ROBERT SPINA,5708946000,"PA, TOBYHANNA",18466,7,33,N,Cancelled,MR HONEY HAB GLAZE,674254399,1,4.5,1,1,21.6,21.6,0,0,1,Approved
3784483866,Cancelled,114189920,Glenn Food Company LLC,Prepaid,02/21/2026,02/21/2026,"GRS     ",02/12/2026,02/16/2026,02/16/2026,02/18/2026,6080,POS REPLEN,SYSTEM,27,27,162,583.2,Yes,N,0,0,Domestic Po,92,,CROSSDOCK,"DRKEITH , S0A0BJ3 ",2.5,106.86,ROBERT SPINA,5708946000,"PA, TOBYHANNA",18466,7,33,N,Cancelled,MR CAJUN HOT SAUCE,674254400,2,25.2,6,6,21.6,129.60000000000002,0,0,6,Approved
3784483866,Cancelled,114189920,Glenn Food Company LLC,Prepaid,02/21/2026,02/21/2026,"GRS     ",02/12/2026,02/16/2026,02/16/2026,02/18/2026,6080,POS REPLEN,SYSTEM,27,27,162,583.2,Yes,N,0,0,Domestic Po,92,,CROSSDOCK,"DRKEITH , S0A0BJ3 ",2.5,106.86,ROBERT SPINA,5708946000,"PA, TOBYHANNA",18466,7,33,N,Cancelled,MR TERIYAKI GLAZE,674254402,3,54.0,8,8,21.6,172.8,0,0,8,Approved
3784483866,Cancelled,114189920,Glenn Food Company LLC,Prepaid,02/21/2026,02/21/2026,"GRS     ",02/12/2026,02/16/2026,02/16/2026,02/18/2026,6080,POS REPLEN,SYSTEM,27,27,162,583.2,Yes,N,0,0,Domestic Po,92,,CROSSDOCK,"DRKEITH , S0A0BJ3 ",2.5,106.86,ROBERT SPINA,5708946000,"PA, TOBYHANNA",18466,7,33,N,Cancelled,MR SALMON SEAS,674258535,4,9.7,5,5,21.6,108.0,0,0,5,Approved
3784483866,Cancelled,114189920,Glenn Food Company LLC,Prepaid,02/21/2026,02/21/2026,"GRS     ",02/12/2026,02/16/2026,02/16/2026,02/18/2026,6080,POS REPLEN,SYSTEM,27,27,162,583.2,Yes,N,0,0,Domestic Po,92,,CROSSDOCK,"DRKEITH , S0A0BJ3 ",2.5,106.86,ROBERT SPINA,5708946000,"PA, TOBYHANNA",18466,7,33,N,Cancelled,MR CAJUN SEAS,674258536,5,3.76,2,2,21.6,43.2,0,0,2,Approved
